id,col1,col2,col3
640256,987,0.8504689174568733,D
657820,698,0.3021323659061558,B
471347,943,0.8258007203714797,D
322725,716,0.13745708508611287,A
854525,758,0.6790634748707746,B
94959,295,0.9282576004408408,D
794925,912,0.8761885509857998,B
367911,935,0.8581496290360741,D
429457,348,0.5882678682245931,D
258745,839,0.8796143260418562,D
373073,270,0.007944080443595625,C
529755,885,0.34458300428385846,C
846319,576,0.27978087497147563,D
387790,965,0.09110118897836494,D
429426,80,0.6705070185060132,C
260988,371,0.5317106601578059,C
74212,145,0.5885849530514984,A
265961,635,0.7750466662577238,B
180955,354,0.9569177643775917,A
932777,956,0.6403904774083115,A
721519,932,0.4777165321247355,C
608762,251,0.8225920430009063,A
143511,247,0.8378952067106502,D
677463,833,0.47164801501306985,C
893333,719,0.2075842670944137,B
314278,662,0.28932217061824383,C
496352,464,0.8224321987167532,C
282562,30,0.24101215278937893,A
70375,759,0.7298421669383979,C
347709,35,0.6025512108026757,C
82926,344,0.640326099151461,C
512175,78,0.6865228371222754,C
983583,400,0.09220950321484211,A
662776,651,0.14140561118970307,A
876677,437,0.14111324027163963,A
916587,443,0.34998587301960926,D
59656,535,0.4534548612610423,D
3290,821,0.6365290876892206,C
953805,604,0.5006113007044498,C
700264,194,0.7514542339231731,C
798338,993,0.45090786784023384,C
463011,625,0.3022873598075453,D
574170,418,0.9966457741638407,C
11417,555,0.3307021289335047,A
576377,371,0.051457762650348515,B
866466,676,0.000431233081650384,A
768469,8,0.10218314907527282,B
504203,12,0.5288548195186739,C
850435,667,0.805874306917726,B
289021,560,0.42469563475537686,A
541577,543,0.800779864528119,C
827144,771,0.5741974488337046,B
284084,9,0.13426307908741675,A
657269,183,0.38228917691340114,B
675587,20,0.8267806747994312,C
229182,948,0.1272592691766311,D
600945,512,0.9253511598564906,A
880066,481,0.8189566886220123,D
321649,941,0.4183797162713936,C
17907,401,0.6757076763219909,A
720834,272,0.15934919931713243,A
527515,198,0.3682666882041252,A
277984,261,0.4182686452076775,B
676755,707,0.270678838613747,C
651395,128,0.30263029082659676,C
260704,176,0.28469761114128067,D
469558,150,0.5207017672354978,C
285742,8,0.819831445677866,D
257688,569,0.5776150892271297,D
636964,560,0.18632166151926433,D
36422,145,0.8637933669023034,C
438638,224,0.9115095652387518,D
202178,286,0.06516385705561611,A
798818,331,0.4627453284045897,D
686005,720,0.9732640513382061,C
492890,88,0.5966660024690633,C
46446,271,0.6238932798886958,B
242817,93,0.1193290834225531,C
294117,464,0.9775286202672206,C
729757,649,0.9009617700673754,A
876290,244,0.14456763914301807,B
97028,367,0.3433076079616366,B
518858,35,0.7686317907047394,A
296101,692,0.7508138435413944,D
961626,914,0.6560989710255984,D
892561,754,0.8289255938045199,D
269817,171,0.8787601895554502,A
804603,344,0.3335763813247564,C
283894,483,0.562982517692173,B
53884,732,0.677889502580949,B
325188,192,0.8890165492359273,C
58774,399,0.11394311167969606,A
716282,510,0.42967202976401175,B
863418,775,0.8205703606469531,A
33607,633,0.04051681919917993,A
874703,147,0.6660469980604011,A
712596,752,0.2896875428276682,D
501292,6,0.12181251965534634,C
522549,598,0.540426759255563,D
831979,252,0.8966471304810478,B
787183,177,0.6952403990406629,C
77386,862,0.2379071040989511,D
640786,355,0.04052346482350466,D
112700,387,0.9703695133749324,D
418071,640,0.48272549653966357,B
422441,427,0.7457667922356456,B
812693,22,0.7368519047584734,D
728287,628,0.8780936437662711,D
224548,665,0.4612282216446636,A
145180,675,0.024823274033842435,D
542073,892,0.1095373637795003,A
752078,683,0.4877968552981521,B
21390,219,0.34743095074603203,B
152802,163,0.819364913268512,C
249559,896,0.5321326231741836,B
603352,573,0.9000223736722852,A
760105,430,0.9616556209660214,C
469415,303,0.5095860733731283,C
565122,870,0.8448294651124953,D
140190,91,0.06594645315380565,C
216787,67,0.48156726478760004,B
876254,997,0.4594236540952811,A
362027,821,0.4916992431772982,B
725581,745,0.5033865154539524,A
762754,868,0.49460772188855195,B
606697,706,0.6872982216787634,A
8959,374,0.13712145050205038,D
163667,628,0.8933434546075639,A
746027,443,0.03951723192291645,B
28596,488,0.8587116363017855,B
917126,222,0.7483430549529856,D
771538,804,0.8093724758692783,B
666456,827,0.7967717850152697,C
309337,944,0.3424714240366251,A
615031,654,0.7441272133292401,B
324587,402,0.647774123858789,D
241672,960,0.4612881908624823,A
988774,553,0.4498378115146727,B
278735,98,0.3780123499339173,B
635878,706,0.982255789831995,B
727391,840,0.2979103029195558,B
190977,572,0.9490288630717613,C
384635,722,0.2557334385330655,A
217749,433,0.7782973448039795,C
710676,884,0.09173803883526621,A
141713,137,0.28168888464824604,A
836691,84,0.65686018221984,A
848041,793,0.4368432236850883,B
949034,171,0.014607414971449795,C
519420,723,0.39364048828846376,A
559288,165,0.22077876545602615,D
127629,13,0.9219620274976537,D
580839,315,0.265613252943938,B
917742,336,0.3666648552752989,A
996962,181,0.05238561631037386,D
995012,451,0.2695038248923368,C
149378,18,0.6489350470849766,C
164862,924,0.21713875033948693,C
245468,730,0.32248577680506485,D
200042,407,0.20858532730481993,C
806567,552,0.028902028487651443,A
642100,623,0.5058811090610005,C
518111,660,0.43498367504174895,D
931779,951,0.30426462569937496,B
61176,561,0.9246138152142763,A
210040,116,0.22126069936692772,B
150966,600,0.42111080676250257,A
607565,506,0.12853639637707093,C
855774,552,0.15727648559386287,D
211939,612,0.8972764950792466,C
752348,585,0.8773608397764545,C
739916,132,0.05881007657071957,C
101604,376,0.0988184797606636,B
740988,74,0.31979643950377334,B
29127,791,0.6119806698831292,D
175451,403,0.15425127052366394,C
568913,203,0.0767727980577736,A
865896,500,0.5344677183093554,C
411247,443,0.2111498983603386,B
462173,480,0.9148032829080075,B
427555,69,0.8581891123148452,C
961573,552,0.1402565263989214,B
94087,492,0.5147178308872319,A
689328,243,0.048976740523136164,C
244769,176,0.24198561899418336,A
567064,342,0.08766958041986528,B
311312,216,0.2728354487787825,A
465372,480,0.4290030425395409,B
103036,925,0.866139176639633,D
332529,782,0.22673043583643548,C
489964,692,0.2759104081320719,A
766589,913,0.9531349180034933,D
606784,349,0.5021396304101977,A
523031,76,0.9200898330233401,A
479525,833,0.9584896715972661,A
626738,758,0.03137422531546141,D
259723,323,0.8617323015815341,D
836329,872,0.5161901238390427,C
962634,119,0.3899758995783935,D
303810,967,0.15761458806259254,D
602347,328,0.5066344055872232,B
750107,50,0.3045184255701393,B
44030,243,0.8818732533288389,B
328783,408,0.5820706391888981,D
220166,389,0.6227715819393114,D
445233,440,0.5790091627256091,A
481555,707,0.7512260227646566,D
153472,877,0.6810006436878393,B
166818,944,0.5282957647656069,B
760393,733,0.032628911876868893,C
910933,219,0.872322027976538,B
200354,413,0.4155365789904548,A
78692,903,0.41503453098714094,B
526992,840,0.594784911110932,D
282044,152,0.7843421129979354,C
908835,296,0.628096388547296,D
322838,350,0.6324005331399721,A
809592,621,0.666079144963892,B
393453,426,0.09199341488688617,A
573370,650,0.9574326428675949,A
4630,187,0.8617675514257159,A
372915,986,0.4033686482937032,C
662785,208,0.20243520923819214,C
770248,491,0.21730140293347844,A
408009,281,0.9853848399259261,C
907850,826,0.052664647815053645,C
970735,152,0.24455008662501587,B
995312,216,0.7844386103504891,C
288285,948,0.35056458922086,C
253452,758,0.39948322340773534,A
157569,248,0.617123247641329,B
850605,485,0.11401559985592757,A
239063,934,0.08498381653617426,D
570378,552,0.36380521619376227,A
671613,367,0.5498689931635236,B
679215,342,0.28110203286759095,D
442650,437,0.5521293775434791,D
753991,422,0.23987154024882928,D
753906,343,0.16091620155624842,D
197086,821,0.37291892309347574,C
304760,683,0.8696742548730526,B
461807,539,0.7169245843953146,A
320611,722,0.22017331020516107,B
238022,202,0.7961021816647618,A
48898,134,0.05962634166478986,B
694289,708,0.722005627732204,D
697919,323,0.7300285244479281,A
531305,900,0.9283798982088005,D
628268,607,0.8783164976181742,D
355687,774,0.0008833375424788237,C
611624,415,0.47893651453019215,B
567594,97,0.45508311563932347,C
543525,481,0.4767076685178041,C
425210,216,0.4436884735233838,D
34545,28,0.007189637098787949,B
626051,440,0.6901787094060445,B
60611,402,0.9334146892419607,B
959070,893,0.6137589135119079,B
124776,815,0.6499762023276174,B
71716,650,0.46885825160579386,D
873376,845,0.018661768674058,B
469134,202,0.5171063625374578,D
183141,527,0.5653102578430407,B
42048,185,0.44746339000206825,B
561824,540,0.2703265339779486,D
781217,142,0.4642311762810304,A
17139,565,0.6765245982223659,D
354932,886,0.9976748780266216,C
